site_id,country,n_pares,mediana_ratio,pct_falla_aa,tiene_fallo_critico,axe_color_contrast_violations,axe_color_contrast_passes
U0215,Honduras,76,14.548198465495398,22.36842105263158,True,16,82
U0221,Honduras,60,7.219046486889271,23.333333333333332,True,1,40
U0222,Peru,154,9.487201703131436,34.41558441558442,True,10,177
U0224,Colombia,142,14.592182968931352,41.54929577464789,True,24,164
U0225,Guatemala,255,9.012364725555356,5.88235294117647,True,51,279
U0227,Guatemala,133,10.311337765837118,6.7669172932330826,True,46,227
U0234,Paraguay,3496,6.500110890454246,0.4576659038901602,True,47,55
U0235,Paraguay,141,16.56974426914681,15.602836879432624,True,8,231
U0236,Ecuador,115,9.56315496959945,13.91304347826087,True,11,135
U0237,Uruguay,208,8.394684818012273,6.25,True,40,248
U0239,Nicaragua,11,3.678195438423989,63.63636363636363,True,3,9
U0240,Costa Rica,62,6.736305921971084,43.54838709677419,True,5,66
U0241,Dominican Republic,153,8.862392129950917,32.6797385620915,True,25,224
U0242,Argentina,250,14.104555610767704,22.0,True,15,163
U0243,Cuba,60,6.638037324979804,26.666666666666668,True,20,64
U0244,Nicaragua,197,3.682434170747389,52.28426395939086,True,94,277
U0245,Dominican Republic,95,3.891226879516603,60.0,True,11,116
U0246,Argentina,164,10.178275545580332,15.853658536585366,True,18,276
U0248,Argentina,89,9.635106573669328,10.112359550561797,True,0,0
U0249,Ecuador,183,13.143161190368982,9.836065573770492,True,7,141
U0251,Colombia,171,5.19529203051444,49.707602339181285,True,18,116
U0255,Dominican Republic,244,6.188846522525044,33.60655737704918,True,102,318
U0259,Colombia,260,2.359841394662878,66.53846153846153,True,8,83
U0260,Chile,149,13.665868395416153,20.13422818791946,True,8,32
U0262,Argentina,73,4.666692694734894,45.20547945205479,True,26,77
U0263,Mexico,26,18.183348920275133,0.0,False,2,46
U0264,Chile,296,10.14685018778427,11.14864864864865,True,0,2
U0265,Brazil,145,10.873104699020606,23.448275862068964,True,3,50
U0266,Peru,151,7.17500571156639,0.0,False,5,255
U0268,Ecuador,104,8.421959305470116,24.03846153846154,True,23,151
U0269,Ecuador,219,3.916522419087455,92.69406392694064,True,1,45
U0270,Colombia,153,6.603484770427079,9.15032679738562,True,26,164
U0271,Chile,85,17.887090927939475,7.0588235294117645,True,5,162
U0273,Brazil,21,7.432626518850706,28.57142857142857,True,0,29
U0274,Mexico,77,14.18347126126079,15.584415584415584,True,13,113
U0275,Ecuador,156,8.470419456939068,37.82051282051282,True,18,136
U0276,Brazil,188,11.896859461299112,18.085106382978726,True,46,256
U0277,Argentina,120,13.283739943042615,6.666666666666667,True,11,191
U0278,Brazil,152,8.3957589570861,0.0,False,15,272
U0279,Colombia,194,8.85149116316597,46.391752577319586,True,36,128
U0280,Chile,65,12.63465434445799,18.461538461538463,True,10,102
U0281,Colombia,87,5.74183648145415,12.643678160919542,True,33,134
U0282,El Salvador,94,8.561503741873313,43.61702127659575,True,30,137
U0283,Peru,35,1.0,65.71428571428571,True,7,31
U0284,Chile,141,14.184129546776452,13.47517730496454,True,56,153
U0285,Argentina,80,9.457947929510562,38.75,True,31,119
U0289,Costa Rica,61,15.851933022427412,32.78688524590164,True,6,74
U0290,Chile,266,8.453182801950636,41.35338345864661,True,46,291
U0291,Argentina,76,2.0174231120817976,53.94736842105263,True,27,100
U0292,Argentina,133,10.53090124643501,10.526315789473683,True,40,199
U0294,Peru,215,7.822532837872768,43.72093023255814,True,26,182
U0295,Chile,240,11.789954791428377,15.0,True,22,171
U0296,Mexico,66,9.939182053291075,0.0,False,0,23
U0297,Mexico,137,8.967984954692948,18.248175182481752,True,7,228
U0301,Brazil,142,12.63465434445799,0.7042253521126761,True,1,231
U0303,Colombia,314,18.09985216248468,3.1847133757961785,True,26,209
U0305,El Salvador,51,10.507537790700887,35.294117647058826,True,12,45
U0306,Peru,142,6.754448402302643,25.352112676056336,True,32,232
U0309,Dominican Republic,60,7.772215300498452,11.666666666666666,True,3,70
U0310,Argentina,199,18.09985216248468,6.030150753768844,True,14,253
U0311,Argentina,34,12.449637244033978,8.823529411764707,True,0,0
U0312,Costa Rica,162,14.759448614675724,40.123456790123456,True,22,112
U0313,Dominican Republic,52,10.067938825459693,19.230769230769234,True,18,94
U0315,Costa Rica,4,21.0,0.0,False,0,8
U0316,Colombia,67,5.975111280690064,28.35820895522388,True,22,44
U0317,Costa Rica,142,10.280180167644469,7.746478873239436,True,12,202
U0318,Colombia,81,3.477825339746958,72.8395061728395,True,9,15
U0319,Costa Rica,133,5.32937760180087,48.87218045112782,True,15,125
U0322,Colombia,367,14.743254567235402,1.9073569482288828,True,2,262
U0323,Peru,246,15.78878286833703,18.69918699186992,True,23,212
U0324,Ecuador,64,5.34980367905952,31.25,True,24,93
U0326,Argentina,97,7.022706898043771,37.11340206185567,True,2,125
U0327,Brazil,15,10.368377760269818,0.0,False,0,26
U0330,Brazil,9,1.0,88.88888888888889,True,1,1
U0331,Brazil,60,8.87977103972727,26.666666666666668,True,6,81
U0332,El Salvador,76,9.907324323925362,3.9473684210526314,True,27,120
U0333,Colombia,144,4.4873098080881615,54.861111111111114,True,0,0
U0334,Peru,102,3.611405329692563,51.9607843137255,True,60,82
U0335,Ecuador,11,9.261658282181244,45.45454545454545,True,5,17
